full_ph,ph1_product_type,ph2_product_area,ph3_article_group,ph4_product_profit_centre,ph5_article_sub_group,prod_hier_text_de,prod_hier_text_en,profit_centre,reference_material_no,profit_centre_text_de,profit_centre_text_en,reference_prod_hierarchy,reporting_prod_category,reference_prod_hier_text_de,reference_prod_hier_text_en,reporting_prod_grp1,reporting_prod_grp1_text_de,reporting_prod_grp1_text_en,reporting_prod_grp2,reporting_prod_grp2_text_de,reporting_prod_grp2_text_en,reporting_prod_grp3,reporting_prod_grp3_text_de,reporting_prod_grp3_text_en,reporting_prod_grp4,reporting_prod_grp4_text_de,reporting_prod_grp4_text_en
101012,10,10,12,,,Wäschetrockner,Tumble dryers,940,50517244,Wäschetrockner                          ,Tumble dryers                           ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,332,Trocknen,Tumble dryers,404,Trockner,Tumble dryers
101012121,10,10,12,121,,Trockner,Tumble dryers,121,50517245,Trockner                                ,Tumble dryers                           ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,332,Trocknen,Tumble dryers,404,Trockner,Tumble dryers
101012121111,10,10,12,121,111,Abluft-Trockner,Vented dryers,121,50517246,Abluft-Trockner                         ,Vented dryers                           ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,332,Trocknen,Tumble dryers,404,Trockner,Tumble dryers
101012121121,10,10,12,121,121,Kondens-Trockner,Condenser dryers,121,50517247,Kondens-Trockner                        ,Condenser dryers                        ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,332,Trocknen,Tumble dryers,404,Trockner,Tumble dryers
101012121131,10,10,12,121,131,Wärmepumpentrockner,Heat-pump dryers,121,50517248,Wärmepumpentrockner                     ,Heat-pump dryers                        ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,332,Trocknen,Tumble dryers,404,Trockner,Tumble dryers
101012121611,10,10,12,121,611,Sonstige Wäschetrockner,Miscellaneous tumble dryers,121,50517252,Sonstige Wäschetrockner                 ,Miscellaneous tumble dryers             ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,332,Trocknen,Tumble dryers,404,Trockner,Tumble dryers
101012121700,10,10,12,121,700,Digitale Produkte Wäschetrockner,Digital products tumble dryers,121,50519695,Digitale Produkte Wäschetrockner        ,Digital products tumble dryers          ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,332,Trocknen,Tumble dryers,404,Trockner,Tumble dryers
101012121711,10,10,12,121,711,Zusätz.Ausstattung Wäschetrockner,Machine options - Tumble dryers,121,50517253,Zusätz.Ausstattung Wäschetrockner       ,Machine options - Tumble dryers         ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,332,Trocknen,Tumble dryers,404,Trockner,Tumble dryers
101012121911,10,10,12,121,911,Nachlässe Wäschetrockner,Discounts - Tumble dryers,121,50517254,Nachlässe Wäschetrockner                ,Discounts - Tumble dryers               ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,332,Trocknen,Tumble dryers,404,Trockner,Tumble dryers
101013,10,10,13,,,Bügelgeräte,Ironers,940,50517255,Bügelgeräte                             ,Ironers                                 ,                    ,015,SDA,SDA,115,BU SDA,BU SDA,235,SDA Geräte,SDA Appliances,347,Bügelmaschinen,SDA Ironing,429,Bügelmaschinen,Rotary ironers
